Date,Adj_Close,Close,High,Low,Open,Volume,Momentum_10,RSI_14,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,EMA_50
2018-01-25,11259.400390625,11259.400390625,11785.7001953125,11057.400390625,11421.7001953125,8873169920,-2560.3994140625,-149.2639608574134,11467.93017578125,13138.055029296875,,11786.228460454631,12550.072167971677,13304.135237432245
2018-01-26,11171.400390625,11171.400390625,11656.7001953125,10470.2998046875,11256.0,9746199552,-319.099609375,-93.58542317024842,11436.02021484375,12820.275048828125,,11674.441538667425,12418.77009393866,13220.498576773138
2018-01-27,11440.7001953125,11440.7001953125,11614.900390625,10989.2001953125,11174.900390625,7583269888,252.1005859375,-86.2716285429868,11461.2302734375,12568.430078125,,11631.943112602892,12325.620579783787,13150.702561813898
2018-01-28,11786.2998046875,11786.2998046875,12040.2998046875,11475.2998046875,11475.2998046875,8350360064,311.3994140625,-144.2463374606623,11492.37021484375,12399.240087890625,,11660.007965709185,12274.256696441284,13097.196571338352
2018-01-29,11296.400390625,11296.400390625,11875.599609375,11179.2001953125,11755.5,7107359744,-311.0,-111.61530688737173,11461.27021484375,12234.290087890626,,11593.89749751206,12181.12752445878,13026.577113271163
2018-01-30,10106.2998046875,10106.2998046875,11307.2001953125,10036.2001953125,11306.7998046875,8637859840,-2792.900390625,-203.47490265771427,11181.98017578125,11990.940087890625,,11323.425189725776,11983.524884480563,12912.056434503176
2018-01-31,10221.099609375,10221.099609375,10381.599609375,9777.419921875,10108.2001953125,8041160192,-1379.0,-302.97672399870805,11044.08017578125,11831.705078125,,11123.002356934725,11815.674858280034,12806.5287158707
2018-02-01,9170.5400390625,9170.5400390625,10288.7998046875,8812.2802734375,10237.2998046875,9959400448,-1760.8603515625,-114.78235257970937,10867.994140625,11591.202099609374,,10768.009208230684,11563.757256449793,12663.940924623319
2018-02-02,8830.75,8830.75,9142.2802734375,7796.490234375,9142.2802734375,12726899712,-2037.650390625,-90.48668971508357,10664.2291015625,11314.72958984375,,10415.78026127965,11303.470851073622,12513.619711892994
2018-02-03,9174.91015625,9174.91015625,9430.75,8251.6298828125,8852.1201171875,7263790080,-2184.490234375,-42.01765594480702,10445.780078125,11084.87509765625,,10190.167514910621,11100.750784899943,12382.689925397191
2018-02-04,8277.009765625,8277.009765625,9334.8701171875,8031.22021484375,9175.7001953125,7073549824,-2982.390625,-47.09049254094515,10147.541015625,10807.735595703125,,9842.320651404145,10831.82306877852,12221.682860308087
2018-02-05,6955.27001953125,6955.27001953125,8364.83984375,6756.68017578125,8270.5400390625,9285289984,-4216.13037109375,-39.35633968082237,9725.927978515625,10580.974096679687,,9317.402354699982,10462.62754027878,12015.156866552132
2018-02-06,7754.0,7754.0,7850.7001953125,6048.259765625,7051.75,13999800320,-3686.7001953125,-75.8922764903206,9357.257958984375,10409.244116210937,,9033.147381118166,10204.663012633182,11848.052675706951
2018-02-07,7621.2998046875,7621.2998046875,8509.1103515625,7236.7900390625,7755.490234375,9169280000,-4165.0,-50.09467542187906,8940.757958984375,10216.564086914062,,8776.447821767135,9958.62842140026,11682.297661157168
2018-02-08,8265.58984375,8265.58984375,8558.76953125,7637.85986328125,7637.85986328125,9346750464,-3030.810546875,-84.06942774513303,8637.676904296875,10049.473559570313,,8683.564553036746,9797.386652100236,11548.309119298065
2018-02-09,8736.98046875,8736.98046875,8736.98046875,7884.7099609375,8271.83984375,6784820224,-1369.3193359375,-122.7508036998675,8500.744970703125,9841.362573242188,,8693.276537711883,9696.395587019262,11438.060936923632
