Date,Adj_Close,Close,High,Low,Open,Volume,Momentum_10,RSI_14,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,EMA_50
2018-01-02,10442.2001953125,10442.2001953125,10495.2001953125,10404.650390625,10477.5498046875,153400,,,,,,10442.2001953125,10442.2001953125,10442.2001953125
2018-01-03,10443.2001953125,10443.2001953125,10503.599609375,10429.5498046875,10482.650390625,167300,,,,,,10442.382013494318,10442.295433407739,10442.239410998774
2018-01-04,10504.7998046875,10504.7998046875,10513.0,10441.4501953125,10469.400390625,174900,,,,,,10453.730702802168,10448.248230672478,10444.692759770882
2018-01-05,10558.849609375,10558.849609375,10566.099609375,10520.099609375,10534.25,180900,,,,,,10472.843231269955,10458.781695310814,10449.169498971043
2018-01-08,10623.599609375,10623.599609375,10631.2001953125,10588.5498046875,10591.7001953125,169000,,,,,,10500.253481834508,10474.478639507402,10456.009895457473
2018-01-09,10637.0,10637.0,10659.150390625,10603.599609375,10645.099609375,205000,,,,,,10525.116485137325,10489.956864316222,10463.107546616004
2018-01-10,10632.2001953125,10632.2001953125,10655.5,10592.7001953125,10652.0498046875,176400,,,,,,10544.58625062372,10503.50384822063,10469.738630878612
2018-01-11,10651.2001953125,10651.2001953125,10664.599609375,10612.349609375,10637.0498046875,153800,,,,,,10563.970604203498,10517.570166991283,10476.854770660333
2018-01-12,10681.25,10681.25,10690.400390625,10597.099609375,10682.5498046875,175200,,,,,,10585.294130711953,10533.158722515924,10484.870269850124
2018-01-15,10741.5498046875,10741.5498046875,10782.650390625,10713.7998046875,10718.5,175900,,,10591.5849609375,,,10613.704253252961,10553.00549224655,10494.936133961393
2018-01-16,10700.4501953125,10700.4501953125,10762.349609375,10687.849609375,10761.5,211000,258.25,,10617.4099609375,,,10629.47624271833,10567.047844919498,10502.99550891634
2018-01-17,10788.5498046875,10788.5498046875,10803.0,10666.75,10702.4501953125,252700,345.349609375,,10651.944921875,,,10658.398708530905,10588.143269659307,10514.19371659364
2018-01-18,10817.0,10817.0,10887.5,10782.400390625,10873.400390625,312000,312.2001953125,,10683.16494140625,,,10687.235306979832,10609.939148739373,10526.068472805655
2018-01-19,10894.7001953125,10894.7001953125,10906.849609375,10793.900390625,10829.2001953125,207600,335.8505859375,110.1435169198895,10716.75,,,10724.956195767589,10637.059248413005,10540.524618786316
2018-01-22,10966.2001953125,10966.2001953125,10975.099609375,10881.400390625,10883.2001953125,231600,342.6005859375,108.75943016459924,10751.01005859375,,,10768.81874113939,10668.406005260576,10557.217778650089
2018-01-23,11083.7001953125,11083.7001953125,11092.900390625,10994.5498046875,10997.400390625,284600,446.7001953125,107.16618486533957,10795.680078125,,,10826.06991462541,10707.95783288457,10577.864147930968
2018-01-24,11086.0,11086.0,11110.099609375,11046.150390625,11069.349609375,283400,453.7998046875,107.89735007535928,10841.06005859375,,,10873.329930148062,10743.961848800325,10597.791044090538
2018-01-25,11069.650390625,11069.650390625,11095.599609375,11009.2001953125,11095.599609375,330300,418.4501953125,112.18655603563644,10882.905078125,,,10909.024559325686,10774.97980516458,10616.29533218993
2018-01-29,11130.400390625,11130.400390625,11171.5498046875,11075.9501953125,11079.349609375,241700,449.150390625,112.2827402286093,10927.8201171875,,,10949.274710471014,10808.829384732238,10636.456314873658
2018-01-30,11049.650390625,11049.650390625,11121.099609375,11033.900390625,11120.849609375,228000,308.1005859375,134.6537957278833,10958.63017578125,10775.107568359375,,10967.524834135374,10831.764718626788,10652.660004118809
2018-01-31,11027.7001953125,11027.7001953125,11058.5,10979.2998046875,11018.7998046875,245900,327.25,140.49289862515803,10991.35517578125,10804.382568359375,,10978.46580889485,10850.425240215904,10667.367462596992
2018-02-01,11016.900390625,11016.900390625,11117.349609375,10878.7998046875,11044.5498046875,306200,228.3505859375,146.74572804204263,11014.190234375,10833.067578125,,10985.453914663969,10866.280016445342,10681.07463624515
2018-02-02,10760.599609375,10760.599609375,10954.9501953125,10736.099609375,10938.2001953125,282700,-56.400390625,638.4399537253552,11008.5501953125,10845.857568359375,,10944.571313702338,10856.215215771976,10684.193262642399
2018-02-05,10666.5498046875,10666.5498046875,10702.75,10586.7998046875,10604.2998046875,240100,-228.150390625,-595.0664062500002,10985.73515625,10851.242578125,,10894.021948426913,10838.15184328774,10683.501362330442
2018-02-06,10498.25,10498.25,10594.150390625,10276.2998046875,10295.150390625,266500,-467.9501953125,-220.7217475718778,10938.94013671875,10844.97509765625,,10822.063412349291,10805.780239165098,10676.236603023366
2018-02-07,10476.7001953125,10476.7001953125,10614.0,10446.400390625,10607.2001953125,250400,-607.0,-114.86312137135411,10878.24013671875,10836.960107421875,,10759.270100160784,10774.439282607707,10668.411645858234
2018-02-08,10576.849609375,10576.849609375,10637.7998046875,10479.5498046875,10518.5,232200,-509.150390625,-179.01258163422983,10827.32509765625,10834.192578125,,10726.102738199732,10755.621218490307,10664.820977760852
2018-02-09,10454.9501953125,10454.9501953125,10480.2001953125,10398.2001953125,10416.5,191600,-614.7001953125,-80.09078311540648,10765.855078125,10824.380078125,,10676.802275856598,10726.985882949564,10656.590750998172
2018-02-12,10539.75,10539.75,10555.5,10485.400390625,10518.2001953125,217400,-590.650390625,-85.70731763170252,10706.7900390625,10817.305078125,,10651.883680246307,10709.153894097224,10652.00876076295
2018-02-14,10500.900390625,10500.900390625,10590.5498046875,10456.650390625,10585.75,229200,-548.75,-42.553038186153486,10651.9150390625,10805.272607421875,,10624.432173042433,10689.32022709987,10646.082942326168
2018-02-15,10545.5,10545.5,10618.099609375,10511.0498046875,10537.900390625,210600,-482.2001953125,-53.70931140148011,10603.69501953125,10797.52509765625,,10610.0808688529,10675.623062614168,10642.138513215337
2018-02-16,10452.2998046875,10452.2998046875,10612.900390625,10434.0498046875,10596.2001953125,184300,-564.6005859375,-47.02333402407905,10547.2349609375,10780.71259765625,,10581.393402641008,10654.354180906867,10634.693857978951
2018-02-19,10378.400390625,10378.400390625,10489.349609375,10302.75,10488.900390625,187300,-382.19921875,-30.525110123005334,10509.0150390625,10758.7826171875,,10544.485582274461,10628.072867546689,10624.643133768992
2018-02-20,10360.400390625,10360.400390625,10429.349609375,10347.650390625,10391.0,187700,-306.1494140625,-33.304146264055134,10478.40009765625,10732.067626953125,,10511.015547429104,10602.580250697005,10614.280673253541
2018-02-21,10397.4501953125,10397.4501953125,10426.099609375,10349.599609375,10426.0,234100,-100.7998046875,-42.3004574077747,10468.3201171875,10703.630126953125,,10490.36730158972,10583.0440549461,10605.777517255854
2018-02-22,10382.7001953125,10382.7001953125,10397.5498046875,10340.650390625,10354.349609375,313600,-94.0,-42.036983713184526,10458.9201171875,10668.580126953126,,10470.79146408477,10563.963687361947,10597.029386983566
2018-02-23,10491.0498046875,10491.0498046875,10499.099609375,10396.650390625,10408.099609375,210600,-85.7998046875,-139.10165604541717,10450.34013671875,10638.8326171875,,10474.474798739811,10557.019508059619,10592.87332493274
2018-02-26,10582.599609375,10582.599609375,10592.9501953125,10520.2001953125,10526.5498046875,171900,127.6494140625,-555.684290118071,10463.105078125,10614.480078125,,10494.133855218935,10559.455708184893,10592.470434126553
2018-02-27,10554.2998046875,10554.2998046875,10631.650390625,10537.25,10615.2001953125,187500,14.5498046875,832.2920114992593,10464.56005859375,10585.675048828125,,10505.073118758673,10558.96466975657,10590.97354669757
2018-02-28,10492.849609375,10492.849609375,10535.5,10461.5498046875,10488.9501953125,286000,-8.05078125,2888.637600532139,10463.75498046875,10557.835009765626,,10502.850662507097,10552.667997339277,10587.12554915551
2018-03-01,10458.349609375,10458.349609375,10525.5,10447.150390625,10479.9501953125,176000,-87.150390625,-309.1549643987342,10455.03994140625,10529.36748046875,,10494.759561937624,10543.68529372363,10582.075512301371
2018-03-05,10358.849609375,10358.849609375,10428.7001953125,10323.900390625,10428.2998046875,194000,-93.4501953125,-381.2137347952887,10445.694921875,10496.46494140625,,10470.048661471692,10526.081895214238,10573.321555323868
