Date,Adj_Close,Close,High,Low,Open,Volume,Momentum_10,RSI_14,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,EMA_50
2018-01-02,2695.81005859375,2695.81005859375,2695.889892578125,2682.360107421875,2683.72998046875,3397430000,,,,,,2695.81005859375,2695.81005859375,2695.81005859375
2018-01-03,2713.06005859375,2713.06005859375,2714.3701171875,2697.77001953125,2697.85009765625,3544030000,,,,,,2698.9464222301135,2697.4529157366073,2696.4865291819856
2018-01-04,2723.989990234375,2723.989990234375,2729.2900390625,2719.070068359375,2719.31005859375,3697340000,,,,,,2703.4997982308882,2699.9802561649662,2697.565096282079
2018-01-05,2743.14990234375,2743.14990234375,2743.449951171875,2727.919921875,2731.330078125,3239280000,,,,,,2710.70890806959,2704.091651039136,2699.3527357354783
2018-01-08,2747.7099609375,2747.7099609375,2748.510009765625,2737.60009765625,2742.669921875,3246160000,,,,,,2717.4363722273915,2708.245775791361,2701.249097508107
2018-01-09,2751.2900390625,2751.2900390625,2759.139892578125,2747.860107421875,2751.14990234375,3467460000,,,,,,2723.591584379229,2712.3452294362314,2703.211487372985
2018-01-10,2748.22998046875,2748.22998046875,2750.800048828125,2736.06005859375,2745.550048828125,3579900000,,,,,,2728.0712927591417,2715.7628247726616,2704.97691847478
2018-01-11,2767.56005859375,2767.56005859375,2767.56005859375,2752.780029296875,2752.969970703125,3645690000,,,,,,2735.251068365434,2720.6958946603845,2707.4311592637596
2018-01-12,2786.239990234375,2786.239990234375,2787.85009765625,2769.639892578125,2770.179931640625,3587220000,,,,,,2744.521781432514,2726.938189476955,2710.521701654764
2018-01-16,2776.419921875,2776.419921875,2807.5400390625,2768.639892578125,2798.9599609375,4362880000,,,2745.34599609375,,,2750.3214433311477,2731.650735419626,2713.1059455849695
2018-01-17,2802.56005859375,2802.56005859375,2807.0400390625,2778.3798828125,2784.989990234375,3790340000,106.75,,2756.02099609375,,,2759.8193733788935,2738.404004293352,2716.6139500166864
2018-01-18,2798.030029296875,2798.030029296875,2805.830078125,2792.56005859375,2802.39990234375,3703300000,84.969970703125,,2764.5179931640623,,,2766.766765363981,2744.0826733413064,2719.806737439439
2018-01-19,2810.300048828125,2810.300048828125,2810.330078125,2798.080078125,2802.60009765625,3724230000,86.31005859375,,2773.1489990234377,,,2774.681907812007,2750.3890900543365,2723.355494748799
2018-01-22,2832.969970703125,2832.969970703125,2833.030029296875,2808.1201171875,2809.159912109375,3489480000,89.820068359375,112.69332706783646,2782.131005859375,,,2785.2797374285738,2758.2539358304116,2727.654101648969
2018-01-23,2839.1298828125,2839.1298828125,2842.239990234375,2830.590087890625,2835.050048828125,3541140000,91.419921875,112.14776556202494,2791.272998046875,,,2795.070672952924,2765.956406971563,2732.0257009102843
2018-01-24,2837.5400390625,2837.5400390625,2852.969970703125,2824.81005859375,2845.419921875,4079270000,86.25,115.26349853884324,2799.897998046875,,,2802.7923758819375,2772.7738957421284,2736.163518092724
2018-01-25,2839.25,2839.25,2848.56005859375,2830.93994140625,2846.239990234375,3873100000,91.02001953125,116.48446849747408,2809.0,,,2809.4210348124943,2779.104953290497,2740.206125226343
2018-01-26,2872.8701171875,2872.8701171875,2872.8701171875,2846.179931640625,2847.47998046875,3474680000,105.31005859375,114.64690759484618,2819.531005859375,,,2820.95723160795,2788.0349688997358,2745.408634715016
2018-01-29,2853.530029296875,2853.530029296875,2870.6201171875,2851.47998046875,2867.22998046875,3587420000,67.2900390625,136.2313958826963,2826.260009765625,,,2826.8795584604813,2794.2725936994634,2749.6486894045006
2018-01-30,2822.429931640625,2822.429931640625,2837.75,2818.27001953125,2832.739990234375,4012070000,46.010009765625,197.6107540092454,2830.8610107421873,2788.1035034179686,,2826.0705354023253,2796.954244931955,2752.5028557667015
2018-01-31,2823.81005859375,2823.81005859375,2839.260009765625,2813.0400390625,2832.409912109375,4276270000,21.25,187.82754477091248,2832.9860107421873,2794.5035034179687,,2825.6595396189477,2799.5119414711735,2755.29921666188
