Date,Adj_Close,Close,High,Low,Open,Volume,Momentum_10,RSI_14,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,EMA_50
2018-01-02,125.1500015258789,125.1500015258789,125.18000030517578,124.38999938964844,124.66000366210938,11762500,,,,,,125.1500015258789,125.1500015258789,125.1500015258789
2018-01-03,124.81999969482422,124.81999969482422,125.08999633789062,124.0999984741211,125.0500030517578,7904300,,,,,,125.09000119295986,125.11857278006417,125.13706027760226
2018-01-04,125.45999908447266,125.45999908447266,125.8499984741211,124.73999786376952,124.88999938964844,7329700,,,,,,125.15727353687127,125.15108957096021,125.14972454453836
2018-01-05,125.33000183105467,125.33000183105467,125.4800033569336,124.83000183105467,124.93000030517578,5739900,,,,,,125.18867868126824,125.16812883382634,125.1567942420488
2018-01-08,125.30999755859376,125.30999755859376,125.31999969482422,124.9000015258789,125.1999969482422,3566700,,,,,,125.21073665896378,125.18164014094705,125.16280221524664
2018-01-09,124.7300033569336,124.7300033569336,124.86000061035156,124.2300033569336,124.48999786376952,9153600,,,,,,125.1233306040492,125.13862711389815,125.14582971099908
2018-01-10,125.02999877929688,125.02999877929688,125.30999755859376,124.72000122070312,125.16999816894533,14809300,,,,,,125.10636118136695,125.12828155822184,125.14128732152057
2018-01-11,125.44000244140624,125.44000244140624,125.66000366210938,125.25,125.37000274658205,5994700,,,,,,125.16702322864681,125.15796926138226,125.15300163994746
2018-01-12,126.95999908447266,126.95999908447266,127.12999725341795,125.80999755859376,126.01000213623048,9258600,,,,,,125.49301883879696,125.32959114929564,125.22386428483081
2018-01-16,127.16999816894533,127.16999816894533,127.18000030517578,126.4000015258789,126.5999984741211,8083900,,,125.5400001525879,,,125.7979241715512,125.5048680083099,125.30018326067844
2018-01-17,126.13999938964844,126.13999938964844,127.22000122070312,125.9000015258789,126.7699966430664,10130500,0.9899978637695312,,125.63899993896484,,,125.86011966575069,125.56535671129453,125.3331172265204
2018-01-18,125.86000061035156,125.86000061035156,126.5199966430664,125.8000030517578,126.12999725341795,6289300,1.0400009155273438,,125.74300003051758,,,125.86009801931448,125.59341803501424,125.35377932000398
2018-01-19,126.41999816894533,126.41999816894533,126.7300033569336,126.41000366210938,126.56999969482422,8773800,0.9599990844726705,,125.83899993896485,,,125.96189804652008,125.67213995253148,125.39559182388403
2018-01-22,126.6500015258789,126.6500015258789,126.75,126.27999877929688,126.51000213623048,4893500,1.319999694824233,257.99967447916765,125.97099990844727,,,126.08700777003986,125.76526962618362,125.44478436121717
2018-01-23,127.27999877929688,127.27999877929688,127.3499984741211,126.33999633789062,126.52999877929688,6190400,1.9700012207031108,211.26751987047987,126.16800003051758,,,126.3039152262684,125.90952954552775,125.51675355408305
2018-01-24,128.8300018310547,128.8300018310547,129.25999450683594,128.22999572753906,128.38999938964844,11827600,4.099998474121094,150.872623425844,126.57799987792968,,,126.7632036998659,126.18766976319698,125.64668485906233
2018-01-25,127.97000122070312,127.97000122070312,129.50999450683594,127.36000061035156,128.69000244140625,15219700,2.94000244140625,215.53750710505818,126.87200012207032,,,126.98262143092721,126.3574156162928,125.73779530461688
2018-01-26,128.07000732421875,128.07000732421875,128.52000427246094,127.97000122070312,128.24000549316406,7828700,2.630004882812514,201.09456532029418,127.13500061035157,,,127.18032795698021,126.52051958847622,125.82925459950323
2018-01-29,127.3499984741211,127.3499984741211,127.62999725341795,126.91999816894533,127.58000183105467,6956400,0.3899993896484375,270.0980227161406,127.1740005493164,,,127.2111771419149,126.59951757758526,125.88889161419414
2018-01-30,126.8000030517578,126.8000030517578,127.91999816894533,126.73999786376952,127.91000366210938,9736100,-0.3699951171875284,266.1837173216792,127.13700103759766,126.33850059509277,,127.13641821643178,126.61861143226837,125.92462147449075
2018-01-31,127.6500015258789,127.6500015258789,127.8499984741211,126.4000015258789,127.4499969482422,13418900,1.5100021362304688,231.29766546596147,127.2880012512207,126.46350059509277,,127.22979699996762,126.71683906023128,125.99228343729028
2018-02-01,128.07000732421875,128.07000732421875,128.14999389648438,127.08000183105467,127.18000030517578,10854600,2.2100067138671875,230.7983290786729,127.50900192260742,126.6260009765625,,127.38256251346782,126.84571222823008,126.07376280540512
2018-02-02,126.38999938964844,126.38999938964844,126.8499984741211,125.95999908447266,126.80999755859376,16789200,-0.02999877929688921,-798.2479153002952,127.50600204467773,126.6725009918213,,127.2020964909552,126.80231100550802,126.08616424008133
2018-02-05,126.70999908447266,126.70999908447266,127.30999755859376,126.44000244140624,126.81999969482422,13596300,0.05999755859375,-1013.0479491814674,127.5120018005371,126.74150085449219,,127.1126242352311,126.79351939398084,126.11062835162609
2018-02-06,125.37999725341795,125.37999725341795,126.5500030517578,125.22000122070312,126.54000091552734,17672500,-1.9000015258789205,-613.1576569793607,127.32200164794922,126.7450008392334,,126.7976011476287,126.65889823773676,126.08197615169637
2018-02-07,124.79000091552734,124.79000091552734,125.7699966430664,124.41000366210938,125.4800033569336,8558500,-4.040000915527344,-435.515198186059,126.91800155639649,126.74800071716308,,126.43258292361025,126.48090801657396,126.03131045616033
2018-02-08,124.9800033569336,124.9800033569336,125.44000244140624,124.51000213623048,124.91999816894533,7343600,-2.9899978637695312,-297.9188632161164,126.61900177001954,126.74550094604493,,126.16847754785086,126.33796471565583,125.9900827267789
2018-02-09,124.7699966430664,124.7699966430664,125.13999938964844,124.38999938964844,124.6500015258789,14140700,-3.3000106811523438,-215.95756769041043,126.2890007019043,126.71200065612793,,125.91420829243549,126.18863442302826,125.94223621369213
2018-02-12,125.37000274658205,125.37000274658205,125.81999969482422,125.11000061035156,125.19000244140624,6984900,-1.9799957275390483,-210.9963370841303,126.09100112915038,126.6325008392334,,125.81526182955304,126.11066950146196,125.91979568557016
